Features size
5
15
Epoch [1/100], Train Loss: 2.618975, Val Loss: 1.653528
Epoch [2/100], Train Loss: 1.648787, Val Loss: 1.117105
Epoch [3/100], Train Loss: 0.975262, Val Loss: 0.805142
Epoch [4/100], Train Loss: 0.751561, Val Loss: 0.739217
Epoch [5/100], Train Loss: 0.709226, Val Loss: 0.720842
Epoch [6/100], Train Loss: 0.697796, Val Loss: 0.702631
Epoch [7/100], Train Loss: 0.688631, Val Loss: 0.684745
Epoch [8/100], Train Loss: 0.683030, Val Loss: 0.678089
Epoch [9/100], Train Loss: 0.674261, Val Loss: 0.672623
Epoch [10/100], Train Loss: 0.669886, Val Loss: 0.663055
Epoch [11/100], Train Loss: 0.664919, Val Loss: 0.655488
Epoch [12/100], Train Loss: 0.658612, Val Loss: 0.649139
Epoch [13/100], Train Loss: 0.657385, Val Loss: 0.641575
Epoch [14/100], Train Loss: 0.647420, Val Loss: 0.634094
Epoch [15/100], Train Loss: 0.644430, Val Loss: 0.630333
Epoch [16/100], Train Loss: 0.643872, Val Loss: 0.622952
Epoch [17/100], Train Loss: 0.645693, Val Loss: 0.620268
Epoch [18/100], Train Loss: 0.643125, Val Loss: 0.618821
Epoch [19/100], Train Loss: 0.632029, Val Loss: 0.613441
Epoch [20/100], Train Loss: 0.634382, Val Loss: 0.613686
Epoch [21/100], Train Loss: 0.629262, Val Loss: 0.608944
Epoch [22/100], Train Loss: 0.626670, Val Loss: 0.603235
Epoch [23/100], Train Loss: 0.622934, Val Loss: 0.599112
Epoch [24/100], Train Loss: 0.622378, Val Loss: 0.598430
Epoch [25/100], Train Loss: 0.619343, Val Loss: 0.593323
Epoch [26/100], Train Loss: 0.613986, Val Loss: 0.590345
Epoch [27/100], Train Loss: 0.611911, Val Loss: 0.588909
Epoch [28/100], Train Loss: 0.615532, Val Loss: 0.587475
Epoch [29/100], Train Loss: 0.614725, Val Loss: 0.583645
Epoch [30/100], Train Loss: 0.605554, Val Loss: 0.587977
Epoch [31/100], Train Loss: 0.605602, Val Loss: 0.584296
Epoch [32/100], Train Loss: 0.602794, Val Loss: 0.582862
Epoch [33/100], Train Loss: 0.610687, Val Loss: 0.583826
Epoch [34/100], Train Loss: 0.601243, Val Loss: 0.577611
Epoch [35/100], Train Loss: 0.609345, Val Loss: 0.578611
Epoch [36/100], Train Loss: 0.597648, Val Loss: 0.576402
Epoch [37/100], Train Loss: 0.594191, Val Loss: 0.575374
Epoch [38/100], Train Loss: 0.593348, Val Loss: 0.571051
Epoch [39/100], Train Loss: 0.592364, Val Loss: 0.569791
Epoch [40/100], Train Loss: 0.598734, Val Loss: 0.569557
Epoch [41/100], Train Loss: 0.599271, Val Loss: 0.567325
Epoch [42/100], Train Loss: 0.596733, Val Loss: 0.569109
Epoch [43/100], Train Loss: 0.596542, Val Loss: 0.570374
Epoch [44/100], Train Loss: 0.589660, Val Loss: 0.568729
Epoch [45/100], Train Loss: 0.592200, Val Loss: 0.565119
Epoch [46/100], Train Loss: 0.598102, Val Loss: 0.570938
Epoch [47/100], Train Loss: 0.589385, Val Loss: 0.565685
Epoch [48/100], Train Loss: 0.596400, Val Loss: 0.571118
Epoch [49/100], Train Loss: 0.586611, Val Loss: 0.565780
Epoch [50/100], Train Loss: 0.593748, Val Loss: 0.569691
Epoch [51/100], Train Loss: 0.600507, Val Loss: 0.562956
Epoch [52/100], Train Loss: 0.590341, Val Loss: 0.567494
Epoch [53/100], Train Loss: 0.585791, Val Loss: 0.562633
Epoch [54/100], Train Loss: 0.585227, Val Loss: 0.561027
Epoch [55/100], Train Loss: 0.578933, Val Loss: 0.565338
Epoch [56/100], Train Loss: 0.608205, Val Loss: 0.561139
Epoch [57/100], Train Loss: 0.585017, Val Loss: 0.568838
Epoch [58/100], Train Loss: 0.589932, Val Loss: 0.559174
Epoch [59/100], Train Loss: 0.592579, Val Loss: 0.563755
Epoch [60/100], Train Loss: 0.584208, Val Loss: 0.560699
Epoch [61/100], Train Loss: 0.584794, Val Loss: 0.559674
Epoch [62/100], Train Loss: 0.595674, Val Loss: 0.569300
Epoch [63/100], Train Loss: 0.587221, Val Loss: 0.561176
Epoch [64/100], Train Loss: 0.587013, Val Loss: 0.567453
Epoch [65/100], Train Loss: 0.600333, Val Loss: 0.560253
Epoch [66/100], Train Loss: 0.580817, Val Loss: 0.559081
Epoch [67/100], Train Loss: 0.584051, Val Loss: 0.556388
Epoch [68/100], Train Loss: 0.575512, Val Loss: 0.556385
Epoch [69/100], Train Loss: 0.580894, Val Loss: 0.558318
Epoch [70/100], Train Loss: 0.577713, Val Loss: 0.556412
Epoch [71/100], Train Loss: 0.578848, Val Loss: 0.558039
Epoch [72/100], Train Loss: 0.585182, Val Loss: 0.559512
Epoch [73/100], Train Loss: 0.585310, Val Loss: 0.560072
Epoch [74/100], Train Loss: 0.584106, Val Loss: 0.561692
Epoch [75/100], Train Loss: 0.582185, Val Loss: 0.559084
Epoch [76/100], Train Loss: 0.578557, Val Loss: 0.557368
Epoch [77/100], Train Loss: 0.586881, Val Loss: 0.556608
Epoch [78/100], Train Loss: 0.580316, Val Loss: 0.556238
Epoch [79/100], Train Loss: 0.585412, Val Loss: 0.556124
Epoch [80/100], Train Loss: 0.582561, Val Loss: 0.556056
Epoch [81/100], Train Loss: 0.580048, Val Loss: 0.556303
Epoch [82/100], Train Loss: 0.579803, Val Loss: 0.558036
Epoch [83/100], Train Loss: 0.580874, Val Loss: 0.556120
Epoch [84/100], Train Loss: 0.579474, Val Loss: 0.556607
Epoch [85/100], Train Loss: 0.581936, Val Loss: 0.555964
Epoch [86/100], Train Loss: 0.580343, Val Loss: 0.556378
Epoch [87/100], Train Loss: 0.575045, Val Loss: 0.555189
Epoch [88/100], Train Loss: 0.581453, Val Loss: 0.554619
Epoch [89/100], Train Loss: 0.581204, Val Loss: 0.553300
Epoch [90/100], Train Loss: 0.578152, Val Loss: 0.552811
Epoch [91/100], Train Loss: 0.588048, Val Loss: 0.556198
Epoch [92/100], Train Loss: 0.580502, Val Loss: 0.553247
Epoch [93/100], Train Loss: 0.575490, Val Loss: 0.553298
Epoch [94/100], Train Loss: 0.578514, Val Loss: 0.551941
Epoch [95/100], Train Loss: 0.579330, Val Loss: 0.551837
Epoch [96/100], Train Loss: 0.571829, Val Loss: 0.550917
Epoch [97/100], Train Loss: 0.577840, Val Loss: 0.549761
Epoch [98/100], Train Loss: 0.580722, Val Loss: 0.550645
Epoch [99/100], Train Loss: 0.582400, Val Loss: 0.553181
Epoch [100/100], Train Loss: 0.579184, Val Loss: 0.551752
Training completed. Logs and model saved in runs/cnn_20250214_074628
